series,team_display,department_display,driver,driver_value,current_value,unit,expected_productivity,ci80_lower,ci80_upper,ci95_lower,ci95_upper
10__0,Team 10,Finishing,Incentive,0.0,0.0,BDT,0.7255615642841575,0.6818645191817317,0.7666581213369467,0.659080004950715,0.7872803382702086
10__0,Team 10,Finishing,Incentive,2.9333333333333327,0.0,BDT,0.7282887519953474,0.6480888793341915,0.8049955338451574,0.5999479424462368,0.8347564424908932
10__0,Team 10,Finishing,Incentive,5.866666666666665,0.0,BDT,0.7133313703968521,0.622874160280944,0.7982061779054793,0.5730315038617128,0.8326352815332567
10__0,Team 10,Finishing,Incentive,8.799999999999997,0.0,BDT,0.7035425439952422,0.6065497959803418,0.794793653271305,0.5546004095824878,0.8294350167043987
10__0,Team 10,Finishing,Incentive,11.73333333333333,0.0,BDT,0.6962258819453758,0.59490797822199,0.7914470735259467,0.5404888195467272,0.8256576072206302
10__0,Team 10,Finishing,Incentive,14.666666666666664,0.0,BDT,0.690370200745836,0.5845940321902322,0.7894360013607723,0.5284693801674639,0.8246759611638851
10__0,Team 10,Finishing,Incentive,17.599999999999994,0.0,BDT,0.6854827185862019,0.5773104582861708,0.7873172619350998,0.5175257523616988,0.8242134092812918
10__0,Team 10,Finishing,Incentive,20.533333333333328,0.0,BDT,0.6812852942568343,0.5706206044669788,0.7856838320429547,0.5081863252045346,0.8238179341449122
10__0,Team 10,Finishing,Incentive,23.46666666666666,0.0,BDT,0.67909949997975,0.5657908478920788,0.7852201951691922,0.5040259973155192,0.8236633425493269
10__0,Team 10,Finishing,Incentive,26.399999999999995,0.0,BDT,0.6839903180719241,0.5701678637402887,0.7901982401609363,0.5077088126374155,0.8293243749843371
10__0,Team 10,Finishing,Incentive,29.33333333333333,0.0,BDT,0.688177969807249,0.5729885494720713,0.7954773061923442,0.5079209058643274,0.8348399436108159
10__0,Team 10,Finishing,Incentive,32.26666666666666,0.0,BDT,0.6925449245726631,0.5767032843367482,0.8005080626516131,0.5098648767951328,0.8401810499521073
10__0,Team 10,Finishing,Incentive,35.19999999999999,0.0,BDT,0.6975452608454754,0.5797907118009475,0.8047401270058465,0.5125587091519193,0.8463717001771495
10__0,Team 10,Finishing,Incentive,38.133333333333326,0.0,BDT,0.7033921991456278,0.5856116889685717,0.8099088202782079,0.5185922894987955,0.8517098709981296
10__0,Team 10,Finishing,Incentive,41.066666666666656,0.0,BDT,0.710158599225277,0.5918661243089167,0.8165981825702509,0.525676248634213,0.8573602843361536
10__0,Team 10,Finishing,Incentive,43.99999999999999,0.0,BDT,0.7178337025793398,0.6013044121704222,0.8231459974809227,0.5333905358078002,0.8635410825240663
10__0,Team 10,Finishing,Incentive,46.93333333333332,0.0,BDT,0.7263565763463752,0.6104660591351027,0.8306225697587648,0.5424254225573434,0.8692100917104586
10__0,Team 10,Finishing,Incentive,49.86666666666665,0.0,BDT,0.7356365642110376,0.6213233168345514,0.8384482329388196,0.5526123237872943,0.8760206423703494
10__0,Team 10,Finishing,Incentive,52.79999999999999,0.0,BDT,0.7455662212639272,0.6333624186672038,0.8462898315766412,0.5635791656545581,0.8830583058353768
10__0,Team 10,Finishing,Incentive,55.73333333333332,0.0,BDT,0.7560297692143721,0.644926753704122,0.8548221470943124,0.5762188595028671,0.8901823174642469
10__0,Team 10,Finishing,Incentive,58.66666666666666,0.0,BDT,0.7669088086806782,0.657133658300701,0.8634823127826663,0.5896601856698844,0.8973200518664104
10__0,Team 10,Finishing,Incentive,61.59999999999999,0.0,BDT,0.7780863023852755,0.6711816748573027,0.8719224603671893,0.603906657657817,0.9044005955859736
10__0,Team 10,Finishing,Incentive,64.53333333333332,0.0,BDT,0.7894216042197836,0.6849518214447317,0.8804309861738037,0.6188797037645971,0.9111597438891768
10__0,Team 10,Finishing,Incentive,67.46666666666665,0.0,BDT,0.8006988240539761,0.6985171518869769,0.8886302469938918,0.6344219272372171,0.917343599124427
