series,day_index,split_code,team_display,department_display,no_of_style_change,is_burn_in,date,driver_code,influence,driver
10__0,0,0,Team 10,Finishing,0,True,2015-01-01,incentive,0.2101731825683879,Incentive
10__0,1,0,Team 10,Finishing,0,True,2015-01-03,incentive,0.2080591898229305,Incentive
10__0,2,0,Team 10,Finishing,0,True,2015-01-04,incentive,0.206787326595594,Incentive
10__0,3,0,Team 10,Finishing,0,True,2015-01-05,incentive,0.2052407223186571,Incentive
10__0,4,0,Team 10,Finishing,0,True,2015-01-06,incentive,0.2029731900871454,Incentive
10__0,5,0,Team 10,Finishing,0,True,2015-01-07,incentive,0.2011255747227266,Incentive
10__0,6,0,Team 10,Finishing,0,True,2015-01-08,incentive,0.1997668737919672,Incentive
10__0,7,0,Team 10,Finishing,0,True,2015-01-10,incentive,0.1978751667339764,Incentive
10__0,8,0,Team 10,Finishing,0,False,2015-01-11,incentive,0.1964436075666974,Incentive
10__0,9,0,Team 10,Finishing,0,False,2015-01-12,incentive,0.1990262766171125,Incentive
10__0,10,0,Team 10,Finishing,0,False,2015-01-13,incentive,0.1968584463972196,Incentive
10__0,11,0,Team 10,Finishing,0,False,2015-01-14,incentive,0.1985682180207484,Incentive
10__0,12,0,Team 10,Finishing,0,False,2015-01-15,incentive,0.1953765367489687,Incentive
10__0,13,0,Team 10,Finishing,0,False,2015-01-17,incentive,0.1920383437248613,Incentive
10__0,14,0,Team 10,Finishing,0,False,2015-01-18,incentive,0.1940654673508649,Incentive
10__0,15,0,Team 10,Finishing,0,False,2015-01-19,incentive,0.1945757655320715,Incentive
10__0,16,0,Team 10,Finishing,0,False,2015-01-22,incentive,0.1925759138931806,Incentive
10__0,17,0,Team 10,Finishing,0,False,2015-01-24,incentive,0.1906528735993458,Incentive
10__0,18,0,Team 10,Finishing,0,False,2015-01-25,incentive,0.188352654490632,Incentive
10__0,19,0,Team 10,Finishing,0,False,2015-01-26,incentive,0.1825112812034654,Incentive
10__0,20,0,Team 10,Finishing,0,False,2015-01-27,incentive,0.1798662857134458,Incentive
10__0,21,0,Team 10,Finishing,0,False,2015-01-28,incentive,0.1794956685494679,Incentive
10__0,22,0,Team 10,Finishing,0,False,2015-01-29,incentive,0.1792708403272724,Incentive
10__0,23,0,Team 10,Finishing,0,False,2015-01-31,incentive,0.1776088264434844,Incentive
10__0,24,0,Team 10,Finishing,0,False,2015-02-01,incentive,0.1771569570876073,Incentive
10__0,25,0,Team 10,Finishing,0,False,2015-02-02,incentive,0.1769410027325882,Incentive
10__0,26,0,Team 10,Finishing,0,False,2015-02-05,incentive,0.1770481981741123,Incentive
10__0,27,0,Team 10,Finishing,0,False,2015-02-17,incentive,0.1762498571410348,Incentive
10__0,28,1,Team 10,Finishing,0,False,2015-02-18,incentive,0.1766908219730148,Incentive
10__0,29,1,Team 10,Finishing,0,False,2015-02-19,incentive,0.1769270067088088,Incentive
10__0,30,1,Team 10,Finishing,0,False,2015-02-22,incentive,0.177891201271593,Incentive
10__0,31,1,Team 10,Finishing,0,False,2015-02-23,incentive,0.1765621477074908,Incentive
10__0,32,1,Team 10,Finishing,0,False,2015-02-24,incentive,0.176316402901169,Incentive
10__0,33,1,Team 10,Finishing,0,False,2015-02-25,incentive,0.1762550889673549,Incentive
10__0,34,1,Team 10,Finishing,0,False,2015-02-26,incentive,0.1762422238405461,Incentive
10__0,35,1,Team 10,Finishing,0,False,2015-02-28,incentive,0.1762300528588694,Incentive
10__0,36,1,Team 10,Finishing,0,False,2015-03-01,incentive,0.1762250322607322,Incentive
10__0,37,2,Team 10,Finishing,0,False,2015-03-02,incentive,0.1762192677948335,Incentive
10__0,38,2,Team 10,Finishing,0,False,2015-03-03,incentive,0.1762090228028282,Incentive
10__0,39,2,Team 10,Finishing,0,False,2015-03-08,incentive,0.1764553195977032,Incentive
10__0,40,2,Team 10,Finishing,0,False,2015-03-09,incentive,-0.0774306120937447,Incentive
10__0,41,2,Team 10,Finishing,0,False,2015-03-10,incentive,-0.0750905568802115,Incentive
10__0,42,2,Team 10,Finishing,0,False,2015-03-11,incentive,-0.0742275602321465,Incentive
10__1,0,0,Team 10,Sewing,0,True,2015-01-01,incentive,0.2122919873992172,Incentive
10__1,1,0,Team 10,Sewing,0,True,2015-01-03,incentive,0.2132973898317706,Incentive
10__1,2,0,Team 10,Sewing,0,True,2015-01-04,incentive,0.2132583429038306,Incentive
10__1,3,0,Team 10,Sewing,0,True,2015-01-05,incentive,0.2143322420637949,Incentive
10__1,4,0,Team 10,Sewing,0,True,2015-01-06,incentive,0.2151803133021731,Incentive
10__1,5,0,Team 10,Sewing,0,True,2015-01-07,incentive,0.2125581308834261,Incentive
10__1,6,0,Team 10,Sewing,0,True,2015-01-08,incentive,0.210884788707359,Incentive
10__1,7,0,Team 10,Sewing,0,True,2015-01-10,incentive,0.2110963997659723,Incentive
10__1,8,0,Team 10,Sewing,0,False,2015-01-11,incentive,0.2124693997713695,Incentive
10__1,9,0,Team 10,Sewing,0,False,2015-01-12,incentive,0.2131532527879426,Incentive
10__1,10,0,Team 10,Sewing,0,False,2015-01-13,incentive,0.2176633653701416,Incentive
10__1,11,0,Team 10,Sewing,0,False,2015-01-14,incentive,0.2198243887505784,Incentive
10__1,12,0,Team 10,Sewing,0,False,2015-01-15,incentive,0.2198296570780307,Incentive
10__1,13,0,Team 10,Sewing,0,False,2015-01-17,incentive,0.2198038514595824,Incentive
10__1,14,0,Team 10,Sewing,0,False,2015-01-18,incentive,0.220183268690691,Incentive
10__1,15,0,Team 10,Sewing,0,False,2015-01-19,incentive,0.2184696188975407,Incentive
10__1,16,0,Team 10,Sewing,0,False,2015-01-20,incentive,0.2167370225708831,Incentive
10__1,17,0,Team 10,Sewing,0,False,2015-01-21,incentive,0.2138717151758104,Incentive
10__1,18,0,Team 10,Sewing,0,False,2015-01-22,incentive,0.2156845390390779,Incentive
10__1,19,0,Team 10,Sewing,0,False,2015-01-24,incentive,0.2150060425108567,Incentive
10__1,20,0,Team 10,Sewing,0,False,2015-01-25,incentive,0.2142862773698293,Incentive
10__1,21,0,Team 10,Sewing,0,False,2015-01-26,incentive,0.2158658570091061,Incentive
10__1,22,0,Team 10,Sewing,0,False,2015-01-27,incentive,0.2211636966241333,Incentive
10__1,23,0,Team 10,Sewing,0,False,2015-01-28,incentive,0.2238907253928231,Incentive
10__1,24,0,Team 10,Sewing,0,False,2015-01-29,incentive,0.2224761247810401,Incentive
10__1,25,0,Team 10,Sewing,0,False,2015-01-31,incentive,0.2221355460194677,Incentive
10__1,26,0,Team 10,Sewing,0,False,2015-02-01,incentive,0.2212497137183803,Incentive
10__1,27,0,Team 10,Sewing,0,False,2015-02-02,incentive,0.2181688061056289,Incentive
10__1,28,0,Team 10,Sewing,0,False,2015-02-03,incentive,0.2684935441215201,Incentive
10__1,29,0,Team 10,Sewing,0,False,2015-02-04,incentive,0.3241471360220983,Incentive
10__1,30,0,Team 10,Sewing,0,False,2015-02-05,incentive,0.3765971661499242,Incentive
10__1,31,0,Team 10,Sewing,0,False,2015-02-07,incentive,0.3725908382276821,Incentive
10__1,32,0,Team 10,Sewing,0,False,2015-02-08,incentive,0.3690313987682406,Incentive
10__1,33,0,Team 10,Sewing,0,False,2015-02-09,incentive,0.3651890031589412,Incentive
10__1,34,0,Team 10,Sewing,0,False,2015-02-10,incentive,0.3609464908145133,Incentive
10__1,35,0,Team 10,Sewing,0,False,2015-02-11,incentive,0.3579767845790212,Incentive
10__1,36,0,Team 10,Sewing,0,False,2015-02-12,incentive,0.3650372470003488,Incentive
10__1,37,0,Team 10,Sewing,1,False,2015-02-16,incentive,0.3847671219935673,Incentive
10__1,38,0,Team 10,Sewing,1,False,2015-02-17,incentive,0.4145840862476451,Incentive
10__1,39,1,Team 10,Sewing,1,False,2015-02-18,incentive,0.4352755839395221,Incentive
10__1,40,1,Team 10,Sewing,1,False,2015-02-19,incentive,0.4601498645925917,Incentive
10__1,41,1,Team 10,Sewing,1,False,2015-02-22,incentive,0.4637939071491413,Incentive
10__1,42,1,Team 10,Sewing,1,False,2015-02-23,incentive,0.4701563863009647,Incentive
10__1,43,1,Team 10,Sewing,1,False,2015-02-24,incentive,0.4724111154719648,Incentive
10__1,44,1,Team 10,Sewing,2,False,2015-02-25,incentive,0.4582998407045285,Incentive
10__1,45,1,Team 10,Sewing,1,False,2015-02-26,incentive,0.4445360030417383,Incentive
10__1,46,1,Team 10,Sewing,1,False,2015-02-28,incentive,0.4440258482469953,Incentive
10__1,47,1,Team 10,Sewing,0,False,2015-03-01,incentive,0.4440737930550248,Incentive
10__1,48,2,Team 10,Sewing,0,False,2015-03-02,incentive,0.4441380350249874,Incentive
10__1,49,2,Team 10,Sewing,0,False,2015-03-03,incentive,0.4441706223222956,Incentive
10__1,50,2,Team 10,Sewing,0,False,2015-03-04,incentive,0.4442057634599932,Incentive
10__1,51,2,Team 10,Sewing,0,False,2015-03-05,incentive,0.4442319629541965,Incentive
10__1,52,2,Team 10,Sewing,0,False,2015-03-07,incentive,0.4442464305214125,Incentive
10__1,53,2,Team 10,Sewing,0,False,2015-03-08,incentive,0.444251267324306,Incentive
10__1,54,2,Team 10,Sewing,0,False,2015-03-09,incentive,0.4442670117375666,Incentive
10__1,55,2,Team 10,Sewing,0,False,2015-03-10,incentive,0.4443937105980592,Incentive
10__1,56,2,Team 10,Sewing,0,False,2015-03-11,incentive,0.444493585909222,Incentive
11__0,0,0,Team 11,Finishing,0,True,2015-01-01,incentive,-0.1325296890951894,Incentive
11__0,1,0,Team 11,Finishing,0,True,2015-01-03,incentive,-0.1449341111594006,Incentive
11__0,2,0,Team 11,Finishing,0,True,2015-01-04,incentive,-0.1414567516656575,Incentive
11__0,3,0,Team 11,Finishing,0,True,2015-01-05,incentive,-0.1474827643308996,Incentive
11__0,4,0,Team 11,Finishing,0,True,2015-01-06,incentive,-0.1502330571169759,Incentive
11__0,5,0,Team 11,Finishing,0,True,2015-01-08,incentive,-0.149574179764368,Incentive
11__0,6,0,Team 11,Finishing,0,True,2015-01-10,incentive,-0.1514672420896518,Incentive
11__0,7,0,Team 11,Finishing,0,True,2015-01-11,incentive,-0.1515211878063568,Incentive
11__0,8,0,Team 11,Finishing,0,False,2015-01-12,incentive,-0.1513453140691587,Incentive
11__0,9,0,Team 11,Finishing,0,False,2015-01-13,incentive,-0.1509052849819734,Incentive
11__0,10,0,Team 11,Finishing,0,False,2015-01-14,incentive,-0.1541641093437255,Incentive
11__0,11,0,Team 11,Finishing,0,False,2015-01-17,incentive,-0.1520110082726595,Incentive
11__0,12,0,Team 11,Finishing,0,False,2015-01-18,incentive,-0.1531226441826317,Incentive
11__0,13,0,Team 11,Finishing,0,False,2015-01-19,incentive,-0.1517076757953916,Incentive
11__0,14,0,Team 11,Finishing,0,False,2015-01-20,incentive,-0.1497078772016945,Incentive
11__0,15,0,Team 11,Finishing,0,False,2015-01-21,incentive,-0.1488726016730099,Incentive
11__0,16,0,Team 11,Finishing,0,False,2015-01-24,incentive,-0.150715226086985,Incentive
11__0,17,0,Team 11,Finishing,0,False,2015-01-28,incentive,-0.148534669781655,Incentive
11__0,18,0,Team 11,Finishing,0,False,2015-01-29,incentive,-0.1497363798316181,Incentive
11__0,19,0,Team 11,Finishing,0,False,2015-01-31,incentive,-0.1530949026854338,Incentive
11__0,20,0,Team 11,Finishing,0,False,2015-02-15,incentive,-0.1530854242015774,Incentive
11__0,21,1,Team 11,Finishing,0,False,2015-02-22,incentive,-0.1535206504088011,Incentive
11__0,22,1,Team 11,Finishing,0,False,2015-02-24,incentive,-0.1527272096648296,Incentive
11__0,23,2,Team 11,Finishing,0,False,2015-03-05,incentive,-0.1542480222625901,Incentive
11__0,24,2,Team 11,Finishing,0,False,2015-03-07,incentive,-0.1539514510611365,Incentive
11__0,25,2,Team 11,Finishing,0,False,2015-03-08,incentive,-0.1541619106517997,Incentive
11__0,26,2,Team 11,Finishing,0,False,2015-03-09,incentive,-0.1621125534789297,Incentive
11__0,27,2,Team 11,Finishing,0,False,2015-03-10,incentive,-0.1625913853849606,Incentive
11__0,28,2,Team 11,Finishing,0,False,2015-03-11,incentive,-0.1642521622854888,Incentive
11__1,0,0,Team 11,Sewing,0,True,2015-01-01,incentive,-0.1302766663488339,Incentive
11__1,1,0,Team 11,Sewing,0,True,2015-01-03,incentive,-0.1267568684702058,Incentive
11__1,2,0,Team 11,Sewing,0,True,2015-01-04,incentive,-0.1251406434358402,Incentive
11__1,3,0,Team 11,Sewing,0,True,2015-01-05,incentive,-0.1226863150693748,Incentive
11__1,4,0,Team 11,Sewing,0,True,2015-01-06,incentive,-0.1219347939367923,Incentive
11__1,5,0,Team 11,Sewing,0,True,2015-01-07,incentive,-0.1273125133311854,Incentive
11__1,6,0,Team 11,Sewing,0,True,2015-01-08,incentive,-0.133361057544771,Incentive
11__1,7,0,Team 11,Sewing,0,True,2015-01-10,incentive,-0.1336025701177178,Incentive
