series,team_display,department_display,driver,effect_mean,effect80_lower,effect80_upper,current_value,range_low,range_high,unit,direction,confidence,strength,strength_rank
10__0,Team 10,Finishing,SMV,-0.17581260100504237,-0.23945982695064194,-0.11485301122113199,1.8999999999999997,1.8999999999999997,29.099999999999998,,Reduces,Clear,Strong,1
10__0,Team 10,Finishing,Workers,0.17573324894241726,0.13480282722876136,0.218817273416759,7.000000000000002,7.000000000000002,58.000000000000014,workers,Supports,Clear,Strong,2
10__0,Team 10,Finishing,WIP,0.1700528111872853,0.0050461439354507346,0.3382829552803679,0.0,0.0,1502.8000000000002,pieces,Supports,Clear,Moderate,3
10__0,Team 10,Finishing,Incentive,0.1425880525054214,0.06318945459080412,0.21352740446109328,0.0,0.0,87.99999999999999,BDT,Supports,Clear,Moderate,4
10__0,Team 10,Finishing,Style Changes,0.026909859221524227,0.008189079190600058,0.04608885689376783,0.0,0.0,2.0,,Supports,Clear,Smaller,5
10__0,Team 10,Finishing,Overtime,-0.014651102051898946,-0.023262180579691594,-0.006555801997573638,960.0,960.0,10368.0,min,Reduces,Clear,Smaller,6
10__1,Team 10,Sewing,Incentive,0.36984593730590576,0.3232875567216116,0.4182618571557274,33.99999999999998,0.0,87.99999999999999,BDT,Supports,Clear,Strong,1
10__1,Team 10,Sewing,WIP,0.24483352920302556,0.1448907622178763,0.34678803272756276,1674.0,0.0,1674.0,pieces,Supports,Clear,Strong,2
10__1,Team 10,Sewing,SMV,-0.13733343309170734,-0.17824203608034667,-0.0969904353664904,20.819999999999997,1.8999999999999997,29.099999999999998,,Reduces,Clear,Moderate,3
10__1,Team 10,Sewing,Workers,0.12583538833100016,-0.0018949532260580158,0.26086747816301514,48.99999999999999,7.000000000000002,58.000000000000014,workers,Supports,Uncertain,Moderate,4
10__1,Team 10,Sewing,Style Changes,0.027883563270573692,0.008424409869825246,0.047151196512897654,0.0,0.0,2.0,,Supports,Clear,Smaller,5
10__1,Team 10,Sewing,Overtime,-0.014731728659664257,-0.022997098890182997,-0.006918460557150839,6000.000000000005,960.0,10368.0,min,Reduces,Clear,Smaller,6
11__0,Team 11,Finishing,SMV,-0.15639448618427826,-0.21704687036207254,-0.0964903719330889,1.8999999999999997,1.8999999999999997,29.099999999999998,,Reduces,Clear,Strong,1
