series_id,team,team_display,dept_bin,department_display,latest_order,targeted_productivity,smv,wip,over_time,incentive,no_of_workers,no_of_style_change
1__0,1,Team 1,0,Finishing,58,0.75,2.9399999999999995,0.0,1920.0000000000007,0.0,7.000000000000002,0
10__0,10,Team 10,0,Finishing,58,0.75,1.8999999999999997,0.0,960.0,0.0,7.000000000000002,0
11__0,11,Team 11,0,Finishing,58,0.8,1.8999999999999997,0.0,2399.999999999999,0.0,9.000000000000002,0
12__0,12,Team 12,0,Finishing,58,0.8,3.599999999999999,0.0,2159.9999999999973,0.0,8.000000000000005,0
2__0,2,Team 2,0,Finishing,58,0.75,2.8999999999999995,0.0,1920.0000000000007,0.0,7.000000000000002,0
3__0,3,Team 3,0,Finishing,58,0.8,3.599999999999999,0.0,1920.0000000000007,0.0,7.000000000000002,0
4__0,4,Team 4,0,Finishing,58,0.75,2.9399999999999995,0.0,1920.0000000000007,0.0,7.000000000000002,0
5__0,5,Team 5,0,Finishing,58,0.7,2.9399999999999995,0.0,1439.9999999999995,0.0,11.0,0
6__0,6,Team 6,0,Finishing,58,0.7,1.8999999999999997,0.0,720.0000000000002,0.0,5.0,0
7__0,7,Team 7,0,Finishing,58,0.65,2.8999999999999995,0.0,960.0,0.0,7.000000000000002,0
8__0,8,Team 8,0,Finishing,58,0.7,2.8999999999999995,0.0,960.0,0.0,7.000000000000002,0
9__0,9,Team 9,0,Finishing,58,0.75,1.8999999999999997,0.0,1800.0,0.0,14.0,0
1__1,1,Team 1,1,Sewing,58,0.75,25.819999999999997,1322.0000000000005,7079.999999999998,45.0,58.000000000000014,0
10__1,10,Team 10,1,Sewing,58,0.75,20.819999999999997,1674.0,6000.000000000005,33.99999999999998,48.99999999999999,0
11__1,11,Team 11,1,Sewing,58,0.8,10.410000000000002,559.9999999999998,3420.0000000000027,50.0,56.999999999999986,0
12__1,12,Team 12,1,Sewing,58,0.8,14.26,470.0,4080.0000000000036,63.000000000000036,33.00000000000001,0
2__1,2,Team 2,1,Sewing,58,0.75,15.09999999999999,971.0,5400.000000000005,45.0,44.000000000000014,1
3__1,3,Team 3,1,Sewing,58,0.8,29.099999999999998,735.0000000000003,6960.000000000005,63.000000000000036,56.999999999999986,1
4__1,4,Team 4,1,Sewing,58,0.75,25.819999999999997,1054.0000000000002,7079.999999999998,45.0,58.000000000000014,0
5__1,5,Team 5,1,Sewing,58,0.7,25.819999999999997,992.0000000000002,6960.000000000005,30.0,56.999999999999986,1
6__1,6,Team 6,1,Sewing,58,0.7,22.41,1127.9999999999998,4559.999999999998,40.00000000000001,36.99999999999999,1
7__1,7,Team 7,1,Sewing,58,0.65,29.48,935.0000000000005,6840.000000000002,26.0,56.00000000000001,1
8__1,8,Team 8,1,Sewing,58,0.7,29.48,913.9999999999997,6840.000000000002,30.0,56.00000000000001,1
9__1,9,Team 9,1,Sewing,58,0.75,17.79,290.0000000000001,5040.0,45.0,51.00000000000003,0
