date_or_order,day_index,split_code,actual_productivity,predicted_productivity,pi_lower,pi_upper,is_burn_in,series,p_alarm,actual_alarm,_order_key,team_display,department_display,targeted_productivity,incentive,wip,no_of_workers,over_time,smv,no_of_style_change,quarter,date,forecast_gap,below_target,risk_status,risk_flag,interval_width,suggested_focus
0,0,0,0.705916667,0.5093345515590094,0.0829633623603827,0.9225659101442198,True,10__0,0.5466782014430591,0,0,Team 10,Finishing,0.65,0,,8.0,960,3.94,0,1,2015-01-01,-0.1406654484409906,True,High Risk,1,0.8396025477838371,Review team conditions
1,1,0,0.7018125,0.5338045390198098,0.0926913286543568,0.9277823428247872,True,10__0,0.5675905123347811,0,1,Team 10,Finishing,0.7,0,,8.0,960,4.15,0,1,2015-01-03,-0.1661954609801901,True,High Risk,1,0.8350910141704304,Review team conditions
2,2,0,0.759228395,0.6677566429769093,0.1549026167865024,0.9568310087647054,True,10__0,0.4149436395367467,0,2,Team 10,Finishing,0.7,0,,18.0,4320,3.94,0,1,2015-01-04,-0.03224335702309067,True,High Risk,1,0.801928391978203,Review overtime
3,3,0,0.763375,0.5961636797828836,0.1195966478621458,0.9414896764479342,True,10__0,0.5483181282836245,0,3,Team 10,Finishing,0.75,0,,8.0,960,2.9,0,1,2015-01-05,-0.15383632021711635,True,High Risk,1,0.8218930285857884,Review team conditions
4,4,0,0.809640152,0.5870096153130833,0.1168643605085641,0.9386789574744016,True,10__0,0.5589386094076944,0,4,Team 10,Finishing,0.75,0,,8.0,1440,3.94,0,1,2015-01-06,-0.16299038468691673,True,High Risk,1,0.8218145969658375,Review team conditions
5,5,0,0.805909091,0.6106638780538798,0.1284943202436692,0.9436379094344556,True,10__0,0.5320109616237172,0,5,Team 10,Finishing,0.75,0,,8.0,1440,3.94,0,1,2015-01-07,-0.13933612194612022,True,High Risk,1,0.8151435891907863,Review team conditions
6,6,0,0.779791667,0.6199417416853714,0.1338699466422325,0.9452903729885478,True,10__0,0.5212233800658939,0,6,Team 10,Finishing,0.75,0,,8.0,1440,3.94,0,2,2015-01-08,-0.13005825831462858,True,High Risk,1,0.8114204263463153,Review team conditions
7,7,0,0.846950758,0.6338026942218176,0.1417188167428681,0.947962817053907,True,10__0,0.557508492183174,0,7,Team 10,Finishing,0.8,0,,8.0,1440,3.94,0,2,2015-01-10,-0.16619730577818248,True,High Risk,1,0.8062440003110388,Review team conditions
8,8,0,0.828295455,0.6527789999093794,0.1528425179470091,0.9516549936884378,False,10__0,0.534645001626448,0,8,Team 10,Finishing,0.8,0,,8.0,1440,3.94,0,2,2015-01-11,-0.14722100009062067,True,High Risk,1,0.7988124757414287,Review team conditions
9,9,0,0.24625,0.66686316132686,0.1618362115367373,0.95426234032817,False,10__0,0.5171471665451829,1,9,Team 10,Finishing,0.8,0,,8.0,1440,3.94,0,2,2015-01-12,-0.13313683867314008,True,High Risk,1,0.7924261287914327,Review team conditions
10,10,0,0.912766667,0.7491031956134725,0.2240855557355789,0.9689034551421684,False,10__0,0.4057673173760063,0,10,Team 10,Finishing,0.8,0,,20.0,5400,3.94,0,2,2015-01-13,-0.05089680438652755,True,High Risk,1,0.7448178994065895,Review overtime
11,11,0,0.332359307,0.6580819959704016,0.1576167181332615,0.9521439387059196,False,10__0,0.5282449090329597,1,11,Team 10,Finishing,0.8,0,,8.0,1260,3.94,0,2,2015-01-14,-0.14191800402959842,True,High Risk,1,0.7945272205726581,Review team conditions
12,12,0,0.953110048,0.7328293971404422,0.210989346230376,0.9659525063972942,False,10__0,0.4288322489246826,0,12,Team 10,Finishing,0.8,0,,19.0,3420,3.94,0,3,2015-01-15,-0.06717060285955789,True,High Risk,1,0.7549631601669182,Review overtime
13,13,0,0.974621212,0.6466515071435011,0.1518366221815889,0.9494751775371228,False,10__0,0.5424955903710261,0,13,Team 10,Finishing,0.8,0,,8.0,1440,3.94,0,3,2015-01-17,-0.15334849285649899,True,High Risk,1,0.797638555355534,Review team conditions
14,14,0,0.235795455,0.6812487327226359,0.1733500272866497,0.9563490744181724,False,10__0,0.3954481904523086,1,14,Team 10,Finishing,0.7,0,,8.0,1440,3.94,0,3,2015-01-18,-0.018751267277364092,True,Watch,0,0.7829990471315227,Review team conditions
15,15,0,0.538399621,0.6603731848165164,0.160547799322563,0.952075724717892,False,10__0,0.421378967767367,1,15,Team 10,Finishing,0.7,0,,8.0,1440,3.94,0,3,2015-01-19,-0.039626815183483544,True,High Risk,1,0.791527925395329,Review team conditions
