date_or_order,day_index,split_code,actual_productivity,predicted_productivity,pi_lower,pi_upper,is_burn_in,series,p_alarm,actual_alarm,_order_key,team_display,department_display,targeted_productivity,incentive,wip,no_of_workers,over_time,smv,no_of_style_change,quarter,date,forecast_gap,below_target,risk_status,risk_flag,interval_width,suggested_focus,priority_rank
58,34,2,0.394722222,0.6084632886504402,0.1446394352983657,0.9347329324597096,False,6__0,0.4835732324796472,1,58,Team 6,Finishing,0.7,0,,6.0,720,2.9,0,2,2015-03-11,-0.09153671134955976,True,High Risk,1,0.7900934971613438,Review staffing,1
58,28,2,0.874027778,0.7351121808562161,0.2179075695328378,0.965360258012528,False,11__0,0.4246536425037693,0,58,Team 11,Finishing,0.8,0,,10.0,2400,2.9,0,2,2015-03-11,-0.06488781914378394,True,High Risk,1,0.7474526884796902,Review overtime,2
58,58,2,0.800034503,0.7296625724078022,0.2666794779193192,0.9526994425777306,False,11__1,0.4226712688198629,0,58,Team 11,Sewing,0.8,50,560.0,58.0,3420,11.41,0,2,2015-03-11,-0.07033742759219785,True,High Risk,1,0.6860199646584115,Review team conditions,3
58,57,2,0.700556897,0.6611967227800104,0.2079137270845132,0.9357257879987192,False,5__1,0.4081552502420232,0,58,Team 5,Sewing,0.7,30,992.0,58.0,6960,26.82,1,2,2015-03-11,-0.03880327721998955,True,High Risk,1,0.727812060914206,Review incentive,4
58,55,2,0.700505263,0.667384864350089,0.2115420070996114,0.9377286136716702,False,8__1,0.3996319260358171,0,58,Team 8,Sewing,0.7,30,914.0,57.0,6840,30.48,1,2,2015-03-11,-0.03261513564991092,True,Watch,0,0.7261866065720588,Review incentive,5
58,57,2,0.750347333,0.7095854369411528,0.248412931026622,0.9477744743447948,False,9__1,0.39375565073859,0,58,Team 9,Sewing,0.75,45,290.0,52.0,5040,18.79,0,2,2015-03-11,-0.040414563058847164,True,Watch,0,0.6993615433181728,Review staffing,6
58,56,2,0.750608,0.7279234173867374,0.2204691411293727,0.9622561943209704,False,10__1,0.3796555022521184,0,58,Team 10,Sewing,0.75,34,1674.0,50.0,6000,21.82,0,2,2015-03-11,-0.02207658261326262,True,Watch,0,0.7417870531915978,Review WIP,7
58,58,2,0.750050847,0.7306098802179047,0.269609732276298,0.9524575850288336,False,4__1,0.3607657533471025,0,58,Team 4,Sewing,0.75,45,1054.0,59.0,7080,26.82,0,2,2015-03-11,-0.01939011978209526,True,Watch,0,0.6828478527525357,Review WIP,8
58,42,2,0.628333333,0.7533375546516147,0.2359582066076655,0.968234573568897,False,10__0,0.3462581875703812,1,58,Team 10,Finishing,0.75,0,,8.0,960,2.9,0,2,2015-03-11,0.0033375546516146715,False,Watch,0,0.7322763669612314,Review team conditions,9
58,52,2,0.625625,0.7228939658533986,0.2055005855063919,0.963653211178097,False,8__0,0.3415670801735617,0,58,Team 8,Finishing,0.7,0,,8.0,960,3.9,0,2,2015-03-11,0.022893965853398646,False,Watch,0,0.758152625671705,Review team conditions,10
58,54,2,0.650596491,0.6748816534928185,0.2193088940888691,0.9390079095123685,False,7__1,0.3346749953050431,0,58,Team 7,Sewing,0.65,26,935.0,57.0,6840,30.48,1,2,2015-03-11,0.024881653492818456,False,Watch,0,0.7196990154234993,Review incentive,11
58,39,2,0.922839506,0.821285474866963,0.2640092355642874,0.9836253636612996,False,12__0,0.3098086742755515,0,58,Team 12,Finishing,0.8,0,,9.0,2160,4.6,0,2,2015-03-11,0.021285474866962972,False,Watch,0,0.7196161280970121,Review overtime,12
58,40,2,0.625625,0.7074079712758361,0.2213681378122596,0.9538639478183044,False,7__0,0.3028671932744323,0,58,Team 7,Finishing,0.65,0,,8.0,960,3.9,0,2,2015-03-11,0.05740797127583608,False,Watch,0,0.7324958100060448,Review team conditions,13
58,58,2,0.800401961,0.7989246107201203,0.3541479001942446,0.9667033221314084,False,12__1,0.3020718945667137,0,58,Team 12,Sewing,0.8,63,470.0,34.0,4080,15.26,0,2,2015-03-11,-0.0010753892798797127,True,Watch,0,0.6125554219371638,Review staffing,14
58,58,2,0.700246491,0.7431194563777989,0.2847808282270008,0.9548310981854528,False,6__1,0.2872648917081634,0,58,Team 6,Sewing,0.7,40,1128.0,38.0,4560,23.41,1,2,2015-03-11,0.043119456377798904,False,Healthy,0,0.670050269958452,No immediate action,15
58,51,2,0.819270833,0.818373199906808,0.2280534247692401,0.9859942972705236,False,2__0,0.2852802182394357,0,58,Team 2,Finishing,0.75,0,,8.0,1920,3.9,0,2,2015-03-11,0.06837319990680801,False,Healthy,0,0.7579408725012835,No immediate action,16
58,36,2,0.786631944,0.8343407979208107,0.3155916331842539,0.9824657494917264,False,3__0,0.2767568603202681,0,58,Team 3,Finishing,0.8,0,,8.0,1920,4.6,0,2,2015-03-11,0.034340797920810684,False,Healthy,0,0.6668741163074725,No immediate action,17
58,45,2,0.505888889,0.8117182867080163,0.3086899984944664,0.9768420681756352,False,9__0,0.2579835504479497,1,58,Team 9,Finishing,0.75,0,,15.0,1800,2.9,0,2,2015-03-11,0.06171828670801627,False,Healthy,0,0.6681520696811689,No immediate action,18
58,45,2,0.813309028,0.8317074015336617,0.2862595248509361,0.9841714879026008,False,4__0,0.249559470750969,0,58,Team 4,Finishing,0.75,0,,8.0,1920,3.94,0,2,2015-03-11,0.08170740153366174,False,Healthy,0,0.6979119630516647,No immediate action,19
58,57,2,0.800071839,0.8506349927867121,0.3691760337523891,0.9825902307546576,False,3__1,0.2384327539076788,0,58,Team 3,Sewing,0.8,63,735.0,58.0,6960,30.1,1,2,2015-03-11,0.05063499278671202,False,Healthy,0,0.6134141970022684,No immediate action,20
58,55,2,0.750050847,0.8466496823655545,0.2928489496303011,0.9869326681979496,False,1__1,0.2340310770075688,0,58,Team 1,Sewing,0.75,45,1322.0,59.0,7080,26.82,0,2,2015-03-11,0.09664968236555449,False,Healthy,0,0.6940837185676485,No immediate action,21
58,48,2,0.812625,0.8452357840417455,0.3420172589460296,0.983191057281028,False,1__0,0.2143194382885299,0,58,Team 1,Finishing,0.75,0,,8.0,1920,3.94,0,2,2015-03-11,0.09523578404174549,False,Healthy,0,0.6411737983349983,No immediate action,22
58,34,2,0.75885,0.8582711742692292,0.3474580590570245,0.98601651838881,False,5__0,0.1691519102583975,0,58,Team 5,Finishing,0.7,0,,12.0,1440,3.94,0,2,2015-03-11,0.1582711742692292,False,Healthy,0,0.6385584593317855,No immediate action,23
58,56,2,0.750140741,0.8933074925837546,0.3875903914802964,0.9913983949226158,False,2__1,0.1603845413002327,0,58,Team 2,Sewing,0.75,45,971.0,45.0,5400,16.1,1,2,2015-03-11,0.14330749258375464,False,Healthy,0,0.6038080034423194,No immediate action,24
