scenario,wip_pieces,incentive_bdt,mean_productivity_uplift,pi80_lower,pi80_upper
Low WIP,0.0,0.0,0.0,0.0,0.0
Low WIP,0.0,1.0,-0.014990886069800365,-0.07157195415568657,0.0395339113882569
Low WIP,0.0,2.0,-0.026769676879530954,-0.09012546987977017,0.0339800479675197
Low WIP,0.0,3.0,-0.035198166146850826,-0.1028923860169793,0.03074745103233369
Low WIP,0.0,4.0,-0.041771141727755895,-0.11397476800132611,0.02712288804392809
Low WIP,0.0,5.0,-0.047161838686673015,-0.12233173313660549,0.02529833205795251
Low WIP,0.0,6.0,-0.051732200278126396,-0.1294944075127003,0.02355197988468496
Low WIP,0.0,7.0,-0.05569956685373098,-0.13534696322058284,0.02191308450998862
Low WIP,0.0,8.0,-0.05920479704883023,-0.1411883216839141,0.02064663998579131
Low WIP,0.0,9.0,-0.062344446713956905,-0.14639348287681703,0.019307180272417672
Low WIP,0.0,10.0,-0.06518761374206626,-0.1506301072605007,0.017998976706025255
Low WIP,0.0,11.0,-0.06778546270624111,-0.1543775963166651,0.01722654652800394
Low WIP,0.0,12.0,-0.07017694476228017,-0.15804158411707958,0.016540864900132794
Low WIP,0.0,13.0,-0.07239240320908133,-0.16175841672068866,0.015688516157441105
Low WIP,0.0,14.0,-0.07445593874049762,-0.16470910835342234,0.015033964314945478
Low WIP,0.0,15.0,-0.07638701380184902,-0.16771899125104492,0.014349518647378873
Low WIP,0.0,16.0,-0.07820157223121997,-0.17018687485877,0.01368730422397121
Low WIP,0.0,17.0,-0.07991284002023732,-0.1726455425039365,0.013102479981783172
Low WIP,0.0,18.0,-0.08153191037193884,-0.17526413385167777,0.012389084030196958
Low WIP,0.0,19.0,-0.08306817925814133,-0.17776638102721118,0.011723932302899951
Low WIP,0.0,20.0,-0.08452967511589554,-0.18004385157735958,0.011079808641005898
Low WIP,0.0,21.0,-0.08592331214360518,-0.18233252989686538,0.010439912279259087
Low WIP,0.0,22.0,-0.08725508751192193,-0.18423390403265988,0.009863044300653457
Low WIP,0.0,23.0,-0.08853023676711062,-0.1860377055366652,0.009310349051210177
Low WIP,0.0,24.0,-0.08642938534349243,-0.18499389828450225,0.011303028956017076
Low WIP,0.0,25.0,-0.08454772834501327,-0.18417396954082574,0.013839634409515932
Low WIP,0.0,26.0,-0.0828133071856758,-0.1834480619289308,0.015716636167625156
Low WIP,0.0,27.0,-0.08116785128273216,-0.18257671871294098,0.017807223539158444
Low WIP,0.0,28.0,-0.07956414079256757,-0.1818613561942462,0.0204676728771893
Low WIP,0.0,29.0,-0.07796392790450128,-0.18123741414616415,0.022971802438534278
Low WIP,0.0,30.0,-0.07633627607016798,-0.1803084336655697,0.025667384397271786
Low WIP,0.0,31.0,-0.07465623904003917,-0.17994306937955987,0.028330878245069538
Low WIP,0.0,32.0,-0.07290378656403744,-0.1789504838796944,0.030984523029345592
Low WIP,0.0,33.0,-0.07106295135283681,-0.1777904898866268,0.03382190058744872
Low WIP,0.0,34.0,-0.06912112290250191,-0.1761703970777653,0.03635829449411451
Low WIP,0.0,35.0,-0.0670684877350686,-0.17415096506208042,0.03881240593150675
Low WIP,0.0,36.0,-0.06489755016888371,-0.17244136763332393,0.0415997586132115
Low WIP,0.0,37.0,-0.06260276120720988,-0.17063692713580444,0.04446593476138089
Low WIP,0.0,38.0,-0.060180200587017146,-0.1685561798213621,0.04734642676552933
Low WIP,0.0,39.0,-0.057627313113659887,-0.166419788950178,0.049949137245136235
Low WIP,0.0,40.0,-0.05494268767824646,-0.16420018114117685,0.05388262403705606
Low WIP,0.0,41.0,-0.05212589020995051,-0.16161107181831458,0.057156204953796995
Low WIP,0.0,42.0,-0.04917730740024068,-0.15909735534733613,0.06020588211476978
Low WIP,0.0,43.0,-0.046098014149417686,-0.15627462547121626,0.06347528401186105
Low WIP,0.0,44.0,-0.042889675211300916,-0.15338103325539115,0.06675399923694851
Low WIP,0.0,45.0,-0.03955446224295173,-0.15069541912573198,0.07132330049197323
Low WIP,0.0,46.0,-0.03609496931074372,-0.14785861258757155,0.0757935121260849
Low WIP,0.0,47.0,-0.032514148363438036,-0.14455876060054137,0.07905504786315473
Low WIP,0.0,48.0,-0.02881527710640787,-0.1407310042519395,0.08277873407684706
Low WIP,0.0,49.0,-0.025001874899523244,-0.13670583597703395,0.08679271211705193
Low WIP,0.0,50.0,-0.02107770717941535,-0.13277778420413922,0.09119158114129985
Low WIP,0.0,51.0,-0.017046721099643388,-0.1287975532172179,0.09544900303545169
Low WIP,0.0,52.0,-0.012913029566878925,-0.12465388136463335,0.09940695956897579
Low WIP,0.0,53.0,-0.008680886958409528,-0.12078381799130185,0.10362473240409062
