,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
D_latent_wip,0,879.5254525835587,304.7395496165302,0.0,0.9552281214579326,29.070600285688425,0.0,True,log
C_prior_weak,1,564.0885808767374,28.057244664443147,315.4368717068213,0.04477189706866493,30.556887563188663,30.157196589788278,False,log
C_zero_impute,2,562.9477087083153,26.841727228591026,316.5777438752434,3.457146397552482e-09,29.64446391747205,29.668450519423452,False,log
C_knots8,3,562.3893897994213,27.779452856306534,317.1360627841374,3.301830925134998e-09,29.977036866298988,29.801064034297045,False,log
C_knots4,4,552.8429124880229,27.43440248174295,326.68254009553596,3.108896647281513e-09,28.335530022485383,29.00131473127328,False,log
C_prior_strong,5,551.254140617863,26.264310721098127,328.2713119656959,2.8837074085680312e-09,27.609969499588455,28.586755271553713,False,log
C_mean_impute,6,539.9558971843878,25.21730147585572,339.5695553991709,3.217025629691393e-09,30.59272393452251,28.967617949620397,False,log
B_hierarchical,7,468.3772601790712,21.320816820917912,411.1481924044876,1.0029655568614133e-10,24.051234637057856,26.75210237197757,False,log
A_baseline,8,442.1868365779423,9.411506819942758,437.3386160056165,3.6525131077898067e-09,21.91432918095247,26.320746162063056,False,log
C_logitnormal,9,350.93032916153936,25.06428743774825,528.5951234220195,0.0,25.396101072364537,32.72913738250923,False,log
