series,day_index,is_burn_in,p_alarm,actual_alarm
10__0,0,True,0.5466782014430591,0
10__0,1,True,0.5675905123347811,0
10__0,2,True,0.41494363953674673,0
10__0,3,True,0.5483181282836245,0
10__0,4,True,0.5589386094076944,0
10__0,5,True,0.5320109616237172,0
10__0,6,True,0.5212233800658939,0
10__0,7,True,0.557508492183174,0
10__0,8,False,0.534645001626448,0
10__0,9,False,0.5171471665451829,1
10__0,10,False,0.40576731737600635,0
10__0,11,False,0.5282449090329597,1
10__0,12,False,0.42883224892468264,0
10__0,13,False,0.5424955903710261,0
10__0,14,False,0.3954481904523086,1
10__0,15,False,0.421378967767367,1
10__0,16,False,0.4072606475611912,0
10__0,17,False,0.4297354872605283,0
10__0,18,False,0.3072484139197158,0
10__0,19,False,0.27405063884514114,0
10__0,20,False,0.35847978645083145,0
10__0,21,False,0.3626322576980884,0
10__0,22,False,0.29037834536006846,0
10__0,23,False,0.2880040945294735,0
10__0,24,False,0.2989630344590664,0
10__0,25,False,0.29420848445824926,0
10__0,26,False,0.32670034533717496,0
10__0,27,False,0.35756154134174734,0
10__0,28,False,0.3466088881135244,1
10__0,29,False,0.3218254001033377,0
10__0,30,False,0.3662093011212102,1
10__0,31,False,0.23780216905606755,0
10__0,32,False,0.16914667615166518,0
10__0,33,False,0.21608428437887084,0
10__0,34,False,0.2536545727803127,1
10__0,35,False,0.26430681309825144,1
10__0,36,False,0.23958375829812323,0
10__0,37,False,0.24361288324531788,0
10__0,38,False,0.24833066709297769,1
10__0,39,False,0.25795824599961714,1
10__0,40,False,0.00270351301632857,1
10__0,41,False,0.2904949133433886,1
10__0,42,False,0.34625818757038124,1
10__1,0,True,0.3938101955731598,0
10__1,1,True,0.3237692705828449,0
10__1,2,True,0.3726614845589523,0
10__1,3,True,0.39413014338447117,0
10__1,4,True,0.3883566161662513,0
10__1,5,True,0.22737062605964492,0
10__1,6,True,0.2425450343513169,0
10__1,7,True,0.3335732955408777,0
10__1,8,False,0.5165882200107608,0
10__1,9,False,0.5418200144683245,0
10__1,10,False,0.15913562417677352,0
10__1,11,False,0.27494658799278193,0
10__1,12,False,0.39565848059067515,0
10__1,13,False,0.3791015069251695,0
10__1,14,False,0.4034220585006875,0
10__1,15,False,0.25507135638029355,0
10__1,16,False,0.25123802831112785,0
10__1,17,False,0.17496674478185414,0
10__1,18,False,0.3621566249347684,0
10__1,19,False,0.25539540635369384,0
10__1,20,False,0.2539320595150365,0
10__1,21,False,0.3623665986314746,0
10__1,22,False,0.29511400302080326,0
10__1,23,False,0.3645255656215394,0
10__1,24,False,0.12541601116414808,0
10__1,25,False,0.10588522344659984,0
10__1,26,False,0.21084055670127422,0
10__1,27,False,0.07916705931281548,0
10__1,28,False,0.1361205523951673,0
10__1,29,False,0.049552783378162116,0
10__1,30,False,0.03888502534331874,0
10__1,31,False,0.07820677213617223,0
10__1,32,False,0.08074038472600426,0
10__1,33,False,0.07331652915638696,0
10__1,34,False,0.060114127204756576,0
10__1,35,False,0.1226054322086651,0
10__1,36,False,0.6707661787006389,1
10__1,37,False,0.4361679618509333,1
10__1,38,False,0.4206575124926673,1
10__1,39,False,0.5669154229163392,1
10__1,40,False,0.5764316106476022,1
10__1,41,False,0.60653866376722,1
10__1,42,False,0.6086501841150296,1
10__1,43,False,0.607965839682681,1
10__1,44,False,0.5959526298250317,0
10__1,45,False,0.6001048923480113,0
10__1,46,False,0.30780061528893,0
10__1,47,False,0.3442161961919955,0
10__1,48,False,0.3400089547503371,0
10__1,49,False,0.34802544179880524,0
10__1,50,False,0.34588134886006433,0
10__1,51,False,0.3496797366243106,0
10__1,52,False,0.35379017986015915,0
10__1,53,False,0.36298072907687023,0
10__1,54,False,0.35707501651902135,0
10__1,55,False,0.3846209791175059,0
10__1,56,False,0.37965550225211847,0
11__0,0,True,0.5042932990244079,1
11__0,1,True,0.49504332252188205,0
11__0,2,True,0.521984390487898,1
11__0,3,True,0.5713378407650316,0
11__0,4,True,0.4467545205185221,0
11__0,5,True,0.6119434456516114,1
11__0,6,True,0.5423593780156667,0
11__0,7,True,0.5232045284410224,1
11__0,8,False,0.5227096962168121,1
11__0,9,False,0.5245705370501593,1
11__0,10,False,0.5552768513567845,0
11__0,11,False,0.5359027811461563,1
11__0,12,False,0.32101782484404684,0
11__0,13,False,0.42105156409505623,1
11__0,14,False,0.33371197023995897,1
11__0,15,False,0.44038127297099433,1
11__0,16,False,0.48955572358687566,0
11__0,17,False,0.24415474668580972,1
11__0,18,False,0.2790133799354665,0
11__0,19,False,0.4134997963085001,0
11__0,20,False,0.26294477200923594,0
11__0,21,False,0.2525690532409543,0
11__0,22,False,0.38972980272194324,1
11__0,23,False,0.4218589998726985,0
11__0,24,False,0.44332901266672375,1
11__0,25,False,0.45791280429262116,0
11__0,26,False,0.035139871638097765,0
11__0,27,False,0.4574846541676017,0
11__0,28,False,0.42465364250376936,0
11__1,0,True,0.423506220365638,0
11__1,1,True,0.41005994073692414,0
11__1,2,True,0.3948906016339825,0
11__1,3,True,0.3957953990066849,0
11__1,4,True,0.37071661487042235,0
11__1,5,True,0.5038301606789628,1
11__1,6,True,0.10290051831867109,0
11__1,7,True,0.19207065220980019,0
11__1,8,False,0.3007036374933719,0
11__1,9,False,0.28843923639235647,0
11__1,10,False,0.48949511238063753,1
11__1,11,False,0.13285217085195433,0
11__1,12,False,0.26631555956101033,0
11__1,13,False,0.33351645047857653,0
11__1,14,False,0.3511762662114374,0
11__1,15,False,0.35646843479591017,0
11__1,16,False,0.35564848167873203,0
11__1,17,False,0.3486840739840409,0
11__1,18,False,0.35736218018022,0
11__1,19,False,0.5021923260112641,0
11__1,20,False,0.638039335912042,1
11__1,21,False,0.21680329288362865,0
11__1,22,False,0.415096235734122,1
11__1,23,False,0.23121682176310288,0
11__1,24,False,0.2531657876468667,0
11__1,25,False,0.2917316002267929,0
11__1,26,False,0.20327502176237566,0
11__1,27,False,0.2285260008146313,0
11__1,28,False,0.3547949815601943,0
11__1,29,False,0.2620568881370882,0
11__1,30,False,0.5572480269971173,0
11__1,31,False,0.4920086441026722,0
11__1,32,False,0.5043948962200989,0
11__1,33,False,0.4371401026985816,0
11__1,34,False,0.7070333609549371,0
11__1,35,False,0.16770701904265428,0
11__1,36,False,0.27699641463611224,0
11__1,37,False,0.3060286365148306,0
11__1,38,False,0.4010688780878542,0
11__1,39,False,0.42313685065363055,1
11__1,40,False,0.40932336422735605,0
11__1,41,False,0.42525031091526194,0
11__1,42,False,0.4159041015932814,0
11__1,43,False,0.5797653741782048,0
11__1,44,False,0.572680153221252,0
11__1,45,False,0.45936641555662355,0
11__1,46,False,0.45290018167882984,0
11__1,47,False,0.41812381038228197,0
11__1,48,False,0.3302090863935799,0
11__1,49,False,0.3748145140309073,0
11__1,50,False,0.35150198538163313,0
11__1,51,False,0.3520210254759383,0
11__1,52,False,0.43138697282747035,0
11__1,53,False,0.44009911028388854,0
