series,n_eval,mae,rmse,r2,bias,median_ae,actual_std,pi90_coverage,pi90_mean_width
10__1,9,0.015016692455673782,0.016579201199898554,0.3725068435885097,0.004148834659782786,0.01492635473856474,0.02219909994229915,1.0,0.7498731742282845
9__1,9,0.015922183494632307,0.02032936240232334,-25821.878985535124,-0.005554985936836713,0.013005281858022077,0.00013418305923851726,1.0,0.671812137814808
12__1,9,0.021420101311977174,0.022759917229909957,-1.0880363678127836,0.0028263944062522947,0.02226536593860018,0.016706208999999972,1.0,0.5956783587911165
4__1,9,0.01858963832133769,0.02416540200091415,0.6944208852460425,-0.013496851684282619,0.016971806833664393,0.04636694168176266,1.0,0.6340685512005254
3__1,9,0.03923151735438622,0.044599408578526,-33036.08288129177,0.03923151735438622,0.050563153786712056,0.0002602582555400662,1.0,0.6286972166374631
8__1,7,0.03872475333630274,0.047004168870879354,0.7924814440355171,-0.01490704991871714,0.033581524787771766,0.11145031604211925,1.0,0.7260562229250294
11__1,9,0.06996844789485818,0.07375133516275914,-58602.73661009086,-0.06996844789485818,0.07626490011498999,0.0003231346232584101,1.0,0.6848595241494884
3__0,8,0.072678664246375,0.08899760823059957,-1.1603705777697244,0.018840629314759702,0.06243989468066441,0.06473068186493862,0.875,0.5375880338045336
1__1,9,0.0879941144310601,0.09394282211078371,-2.344083537404097,0.0879941144310601,0.09659883536555447,0.0544880549005922,1.0,0.5820680711737367
5__1,9,0.07109574191959395,0.09831483869598111,0.05401555655954271,0.02127355892589629,0.05095412046909953,0.10721445318851419,1.0,0.7325408942073014
11__0,6,0.08193345158486465,0.1031011759608994,0.07210716901079461,-0.05774411197439514,0.055673128190448284,0.1172479699987978,1.0,0.6740682688734001
12__0,9,0.10642720993268215,0.12116157886827096,-0.03440092111120174,0.0020801887764637034,0.09875311286544142,0.1263562521874262,1.0,0.6568997497877959
4__0,9,0.10202335273466118,0.13674607238670328,-0.8690538967406811,0.08001987021258855,0.049926961707681405,0.10609140723940706,0.8888888888888888,0.6225632566821879
7__1,7,0.10676181046251332,0.13942572466353015,0.2038234370929305,-0.018127589672378257,0.04654963070985241,0.16877635784783537,1.0,0.7284330460442895
6__1,9,0.10730007881120925,0.15359684134817064,0.1841016733027072,0.09782551938103898,0.08145329811081392,0.1803601237894722,1.0,0.705314011617891
1__0,9,0.13816030251483513,0.17996263785477903,-1.0818630713199902,0.12257203906304998,0.05746480183580194,0.1322916797152459,0.8888888888888888,0.5621160120572204
9__0,7,0.144429441361367,0.18837698987945464,-0.22874484695561126,0.07829413932797583,0.1506868039306174,0.18355676410465793,0.8571428571428571,0.6061955300292821
7__0,6,0.16498345692645952,0.20266084338969528,0.030569466752117358,0.06289538947841389,0.133975505789586,0.22547693446214095,0.8333333333333334,0.7046101952283802
2__0,9,0.17118157316482047,0.21495989110154232,-0.8492708511087252,0.1251197436448363,0.11064608440744272,0.16766153290484923,0.8888888888888888,0.6497412584228733
5__0,7,0.15532015238989189,0.21783343676055006,-0.425139245401287,0.13366766161282587,0.09942117426922914,0.19709213240632423,0.8571428571428571,0.5787898177731386
2__1,8,0.20057104319744565,0.22756768410211511,-1.277630722925922,0.20057104319744565,0.15642383675503385,0.16119995162239728,1.0,0.7252270005433015
8__0,9,0.2124572840880895,0.28986228335992253,-0.8590735094575408,0.1272885777839521,0.1652607000988212,0.2254860552611701,0.8888888888888888,0.6648681366107468
6__0,4,0.2724692015093549,0.29135674023707625,-0.9386412322347804,0.20550529412187846,0.2845421948099588,0.24162714094144044,1.0,0.7761667886955766
10__0,6,0.3055360278805226,0.33195168949583664,-12.408854622158248,0.3055360278805226,0.33573615309219146,0.09930466834110797,0.8333333333333334,0.610763754761528
