driver,posterior_mean,posterior_sd,hdi90_lower_approx,hdi90_upper_approx,Pr(effect > 0),Pr(effect < 0)
b_inc_positive,0.016059245366537595,0.16183216783796883,-0.25570745390203664,0.2815027841067705,0.544,0.456
b_wip,0.4583018948702457,0.1369131731978949,0.23383546350187262,0.6821668990871265,0.99925,0.00075
b_nw,0.38995628192839477,0.11619674619505846,0.20525500217687034,0.5815650970419717,0.999,0.001
b_ot,-0.047917870845374806,0.020482032171645445,-0.08188722183226842,-0.014552916986737508,0.00625,0.99375
b_smv,-0.30007430880175845,0.07626188281088254,-0.42557669754773664,-0.17478788563760284,0.0,1.0
b_style,0.029710112544038745,0.016639515398043907,0.002927638330539354,0.05646619487779844,0.9665,0.0335
b_tp,0.2546200980498163,0.021966502870142336,0.21842384847276258,0.29068104279091705,1.0,0.0
b_dept,-0.6227577939162859,0.5355920639543078,-1.5107408593842677,0.25780884112204167,0.12225,0.87775
b_wip_miss,0.8045551628803762,0.5449016193393266,-0.09897089156092552,1.701730606224018,0.92925,0.07075
b_inc_wip,0.23048241046980417,0.10577475799901029,0.05639118623407156,0.4040018751567613,0.987,0.013
b_wip_nw,-0.14434631914644486,0.10681896795567986,-0.31746819373969265,0.03313587803610564,0.0905,0.9095
