series,dept_bin,n,bayes_rmse,fused_rmse,fused_mae,fused_r2,fused_bias,kalman_rmse_improvement_pct
10__1,1,9,0.03896434232082189,0.016579201199898554,0.015016692455673782,0.3725068435885097,-0.004148834659782786,57.4503245470182
9__1,1,9,0.022875643968844884,0.02032936240232334,0.015922183494632307,-25821.878985535124,0.005554985936836713,11.130972181545618
12__1,1,9,0.025165825107777748,0.022759917229909957,0.021420101311977174,-1.0880363678127836,-0.0028263944062522947,9.560218540675713
4__1,1,9,0.023829287403250313,0.02416540200091415,0.01858963832133769,0.6944208852460425,0.013496851684282619,-1.4105104864276852
3__1,1,9,0.025576673173115197,0.044599408578526,0.03923151735438622,-33036.08288129177,-0.03923151735438622,-74.37533128978815
8__1,1,7,0.04526519115116095,0.047004168870879354,0.03872475333630274,0.7924814440355171,0.01490704991871714,-3.8417549456737587
11__1,1,9,0.05283699111918596,0.07375133516275914,0.06996844789485818,-58602.73661009086,0.06996844789485818,-39.582768815120595
3__0,0,8,0.2533733909129505,0.08899760823059957,0.072678664246375,-1.1603705777697244,-0.018840629314759702,64.87491922102595
1__1,1,9,0.023259195458280077,0.09394282211078371,0.08799411443106009,-2.344083537404097,-0.08799411443106009,-303.89540678347436
5__1,1,9,0.10633666764034169,0.09831483869598111,0.07109574191959395,0.05401555655954271,-0.02127355892589629,7.543803207650345
11__0,0,6,0.22096695820337872,0.1031011759608994,0.08193345158486465,0.07210716901079461,0.05774411197439514,53.340908161479625
12__0,0,9,0.24860456220881721,0.12116157886827093,0.10642720993268213,-0.0344009211112013,-0.002080188776463691,51.26333250212023
4__0,0,9,0.2062485730165132,0.13674607238670328,0.10202335273466118,-0.8690538967406811,-0.08001987021258855,33.6984152730333
7__1,1,7,0.13911275342191656,0.13942572466353015,0.10676181046251332,0.2038234370929305,0.018127589672378257,-0.22497667102050478
6__1,1,9,0.1370454138467592,0.15359684134817064,0.10730007881120925,0.1841016733027072,-0.09782551938103898,-12.077330453333413
1__0,0,9,0.20572240920215432,0.17996263785477906,0.13816030251483513,-1.0818630713199906,-0.12257203906305003,12.521616603304631
9__0,0,7,0.21283500667415445,0.18837698987945464,0.144429441361367,-0.22874484695561126,-0.07829413932797583,11.491538528783696
7__0,0,6,0.22188104891684704,0.20266084338969528,0.16498345692645952,0.030569466752117358,-0.06289538947841389,8.662391682831283
2__0,0,9,0.2562818272834334,0.21495989110154232,0.17118157316482047,-0.8492708511087252,-0.1251197436448363,16.123631011960647
5__0,0,7,0.18009641818023803,0.21783343676055006,0.15532015238989189,-0.425139245401287,-0.13366766161282584,-20.95378628937825
2__1,1,8,0.15726904189008115,0.22756768410211511,0.20057104319744565,-1.277630722925922,-0.20057104319744565,-44.69960608087589
8__0,0,9,0.3108501403166668,0.28986228335992253,0.2124572840880895,-0.8590735094575408,-0.1272885777839521,6.751760489914426
6__0,0,4,0.20489304109990344,0.29135674023707625,0.2724692015093549,-0.9386412322347804,-0.20550529412187846,-42.19943179769299
10__0,0,6,0.22084379930173956,0.33195168949583664,0.3055360278805226,-12.408854622158248,-0.3055360278805226,-50.310622505769366
