feature,split,rows,train_q1,train_q3,train_iqr,iqr_multiplier,train_lower_bound,train_upper_bound,split_min,split_max,extreme_value_count,extreme_value_percent
348,train,1096,0.0179,0.0286,0.010700000000000001,3.0,-0.014200000000000004,0.060700000000000004,0.0103,0.22,20,1.8248175182481752
348,validation,235,0.0179,0.0286,0.010700000000000001,3.0,-0.014200000000000004,0.060700000000000004,0.0128,0.1165,4,1.702127659574468
348,test,236,0.0179,0.0286,0.010700000000000001,3.0,-0.014200000000000004,0.060700000000000004,0.011,0.0437,0,0.0
21,train,1096,-6266.625,-5392.25,874.375,3.0,-8889.75,-2769.125,-7148.0,0.0,17,1.551094890510949
21,validation,235,-6266.625,-5392.25,874.375,3.0,-8889.75,-2769.125,-6576.0,-4682.0,0,0.0
21,test,236,-6266.625,-5392.25,874.375,3.0,-8889.75,-2769.125,-7150.25,-1263.5,4,1.694915254237288
59,train,1096,-1.198625,5.908875,7.1075,3.0,-22.521124999999998,27.231375,-28.9882,168.1455,31,2.8284671532846715
59,validation,235,-1.198625,5.908875,7.1075,3.0,-22.521124999999998,27.231375,-9.4318,7.03,0,0.0
59,test,236,-1.198625,5.908875,7.1075,3.0,-22.521124999999998,27.231375,-17.3591,27.4136,1,0.423728813559322
210,train,1096,0.064,0.103375,0.03937499999999999,3.0,-0.05412499999999998,0.22149999999999997,0.0319,0.5164,21,1.916058394160584
210,validation,235,0.064,0.103375,0.03937499999999999,3.0,-0.05412499999999998,0.22149999999999997,0.0394,0.4379,4,1.702127659574468
210,test,236,0.064,0.103375,0.03937499999999999,3.0,-0.05412499999999998,0.22149999999999997,0.0427,0.2024,0,0.0
103,train,1096,-0.0113,-0.0073,0.003999999999999999,3.0,-0.023299999999999994,0.004699999999999997,-0.0329,0.0203,2,0.18248175182481752
103,validation,235,-0.0113,-0.0073,0.003999999999999999,3.0,-0.023299999999999994,0.004699999999999997,-0.0185,0.0062,1,0.425531914893617
103,test,236,-0.0113,-0.0073,0.003999999999999999,3.0,-0.023299999999999994,0.004699999999999997,-0.017,0.0016,0,0.0
431,train,1096,12.242375000000001,22.615075,10.3727,3.0,-18.875724999999996,53.733175,0.0,400.0,55,5.018248175182482
431,validation,235,12.242375000000001,22.615075,10.3727,3.0,-18.875724999999996,53.733175,1.6516,120.7275,2,0.851063829787234
431,test,236,12.242375000000001,22.615075,10.3727,3.0,-18.875724999999996,53.733175,1.2391,400.0,7,2.9661016949152543
430,train,1096,6.806425,17.229625,10.423199999999998,3.0,-24.463174999999993,48.499224999999996,0.0,400.0,45,4.105839416058394
430,validation,235,6.806425,17.229625,10.423199999999998,3.0,-24.463174999999993,48.499224999999996,1.9186,79.41,2,0.851063829787234
430,test,236,6.806425,17.229625,10.423199999999998,3.0,-24.463174999999993,48.499224999999996,0.5736,400.0,12,5.084745762711864
434,train,1096,7.837175,12.8296,4.992424999999999,3.0,-7.140099999999997,27.806874999999998,0.0,400.0,30,2.7372262773722627
434,validation,235,7.837175,12.8296,4.992424999999999,3.0,-7.140099999999997,27.806874999999998,0.4558,22.054,0,0.0
434,test,236,7.837175,12.8296,4.992424999999999,3.0,-7.140099999999997,27.806874999999998,2.2341,400.0,8,3.389830508474576
298,train,1096,0.0408,0.0668,0.025999999999999995,3.0,-0.03719999999999998,0.14479999999999998,0.0,0.5255,27,2.4635036496350367
298,validation,235,0.0408,0.0668,0.025999999999999995,3.0,-0.03719999999999998,0.14479999999999998,0.0026,0.124,0,0.0
298,test,236,0.0408,0.0668,0.025999999999999995,3.0,-0.03719999999999998,0.14479999999999998,0.0108,0.5264,6,2.542372881355932
316,train,1096,5.241300000000001,6.443625,1.2023249999999992,3.0,1.6343250000000031,10.050599999999998,3.2548,13.0958,1,0.09124087591240876
316,validation,235,5.241300000000001,6.443625,1.2023249999999992,3.0,1.6343250000000031,10.050599999999998,2.7882,9.8724,0,0.0
316,test,236,5.241300000000001,6.443625,1.2023249999999992,3.0,1.6343250000000031,10.050599999999998,3.8465,9.2874,0,0.0
510,train,1096,37.29465,68.192025,30.897375000000004,3.0,-55.39747500000001,160.88415,0.0,451.4851,29,2.645985401459854
510,validation,235,37.29465,68.192025,30.897375000000004,3.0,-55.39747500000001,160.88415,12.6512,221.6216,2,0.851063829787234
510,test,236,37.29465,68.192025,30.897375000000004,3.0,-55.39747500000001,160.88415,15.2493,244.2748,3,1.271186440677966
163,train,1096,0.092,0.15,0.057999999999999996,3.0,-0.08199999999999999,0.32399999999999995,0.0,0.957,29,2.645985401459854
