feature,training_center_median,training_iqr_scale,scaled_train_median,scaled_train_q1,scaled_train_q3
348,0.023149999999999997,0.010700000000000001,1.6219664500383146e-16,-0.49065420560747636,0.5093457943925236
21,-5546.5,874.375,0.0,-0.8235882773409579,0.17641172265904217
59,1.6759,7.1075,0.0,-0.40443545550474846,0.5955645444952516
210,0.0795,0.03937499999999999,0.0,-0.3936507936507937,0.6063492063492064
103,-0.0095,0.003999999999999999,0.0,-0.44999999999999996,0.55
431,17.549950000000003,10.3727,0.0,-0.5116869281864898,0.48831307181351025
430,10.62055,10.423199999999998,0.0,-0.3659264909049045,0.6340735090950957
434,10.33775,4.992424999999999,0.0,-0.5008738238431223,0.49912617615687765
298,0.051949999999999996,0.025999999999999995,0.0,-0.42884615384615365,0.5711538461538463
316,5.8239,1.2023249999999992,0.0,-0.4845611627471775,0.5154388372528227
510,50.2685,30.897375000000004,-1.1497964039208775e-16,-0.419901367025516,0.5800986329744839
163,0.118,0.057999999999999996,0.0,-0.44827586206896547,0.5517241379310346
435,4.5028500000000005,2.1647,0.0,-0.4550053125144364,0.5449946874855637
22,2690.0,370.4375,0.0,-0.2561160789606884,0.7438839210393116
436,2.7605,1.82465,0.0,-0.43678239662401,0.5632176033759899
64,19.7073,5.788125000000001,0.0,-0.47377605010258084,0.5262239498974192
310,0.2973,0.04980000000000001,0.0,-0.4638554216867471,0.5361445783132529
175,0.7542,0.13282500000000008,0.0,-0.4833427442123094,0.5166572557876904
114,0.0,1.0,0.0,0.0,0.0
117,58.54915,1.1399749999999997,3.1164849347009582e-15,-0.5153402486896609,0.48465975131033917
446,1.141,0.19704999999999995,0.0,-0.49023090586145673,0.5097690941385435
249,0.0,1.0,0.0,0.0,0.0
387,0.0,1.0,0.0,0.0,0.0
437,3.7422,1.4621499999999994,0.0,-0.45737441438976856,0.5426255856102317
180,18.51,3.9125000000000014,0.0,-0.4504792332268374,0.5495207667731624
299,0.039,0.020099999999999996,0.0,-0.43781094527363185,0.5621890547263682
294,269.16769999999997,244.6095,0.0,-0.35096909564019374,0.6490309043598063
31,3.4447,1.2266,0.0,-0.05733327898255347,0.9426667210174462
33,8.7782,0.5301000000000009,0.0,-0.3635163176759102,0.6364836823240898
164,0.088,0.0429999999999999,0.0,-0.44186046511627985,0.5581395348837201
300,0.08045,0.051925,0.0,-0.4285026480500721,0.571497351949928
127,0.6519,0.12342500000000012,0.0,-0.7040712983593276,0.2959287016406722
295,215.85595,144.345975,0.0,-0.494659445821056,0.5053405541789439
159,601.0,549.5,0.0,-0.3571428571428571,0.6428571428571428
452,5.2076,1.14935,0.0,-0.460977944055336,0.539022055944664
165,0.1785,0.11699999999999999,0.0,-0.43162393162393153,0.5683760683760685
471,7.4755,3.5237750000000005,0.0,-0.4356265652602678,0.5643734347397322
337,1.9668,1.1660500000000003,0.0,-0.3947943913211269,0.605205608678873
122,3.877,1.0180000000000007,0.0,-0.603143418467583,0.39685658153241704
166,2.6,1.0,0.0,-0.5,0.5
301,0.84565,0.28869999999999996,0.0,-0.48614478697609975,0.5138552130239002
102,-0.00015000000000000001,0.07265,0.0,-0.5154852030282175,0.4845147969717825
58,4.5698,0.12924999999999986,0.0,-0.2920696324951643,0.7079303675048356
281,0.0143,0.004900000000000002,0.0,-0.44897959183673464,0.5510204081632654
160,481.0,328.25,0.0,-0.4752475247524752,0.5247524752475248
26,1.9832,0.10880000000000001,0.0,-0.8244485294117657,0.1755514705882343
475,4.3106,1.2429499999999996,0.0,-0.6323464338871235,0.36765356611287686
56,0.9307,0.008000000000000007,0.0,-0.6874999999999931,0.31250000000000694
247,0.02955,0.014924999999999997,0.0,-0.3450586264656616,0.6549413735343386
255,0.4253,0.14292499999999997,0.0,-0.5154801469302084,0.48451985306979195
527,6.75455,2.228249999999999,1.9927635930283571e-16,-0.5150566588129699,0.4849433411870304
65,25.97165,7.1216500000000025,0.0,-0.4485652903470404,0.5514347096529593
519,6.34615,3.1659499999999987,0.0,-0.32518675279142134,0.6748132472085789
28,68.6111,3.5027749999999997,0.0,-0.45123509217691576,0.5487649078230842
203,30.416,8.777750000000001,0.0,-0.6339323858619806,0.36606761413801964
433,124.83595,276.66215000000005,0.0,-0.4186669553460781,0.5813330446539217
121,15.81,0.13000000000000078,0.0,-0.46153846153846256,0.5384615384615374
146,0.051449999999999996,0.019949999999999996,1.739060284666749e-16,-0.4197994987468671,0.5802005012531333
582,0.5001,0.0044999999999999485,0.0,-0.51111111111111,0.48888888888889
278,0.0011,0.00039999999999999996,0.0,-0.5000000000000002,0.4999999999999997
200,17.44,5.77,0.0,-0.5207972270363955,0.47920277296360453
575,0.0895,0.0373,0.0,-0.40214477211796246,0.5978552278820376
573,0.2908,0.12309999999999996,0.0,-0.43155970755483364,0.5684402924451666
484,154.89845,241.95505000000003,0.0,-0.32138510851499064,0.6786148914850093
14,8.95215,3.716924999999999,2.389581588158052e-16,-0.49499250052126426,0.5050074994787359
488,350.70005000000003,337.6213,-8.418829869349942e-17,-0.5260057644467337,0.4739942355532662
75,-0.00785,0.026975,-3.220080452281948e-17,-0.4958294717330862,0.5041705282669138
196,6.545,4.4399999999999995,0.0,-0.37049549549549543,0.6295045045045046
393,0.14135,0.047,0.0,-0.49521276595744695,0.504787234042553
70,619.2455,12.999774999999886,0.0,-0.5443132669603906,0.4556867330396116
521,0.0,1.0,0.0,0.0,0.0
511,0.0,563.6015500000001,0.0,0.0,1.0
143,0.004,0.0014999999999999996,0.0,-0.46666666666666684,0.5333333333333331
32,85.2296,1.0805000000000007,0.0,-0.5258676538639557,0.4741323461360443
133,1004.5168,7.940600000000018,0.0,-0.47026673047376505,0.5297332695262349
181,0.53,0.31600000000000017,0.0,-0.4810126582278483,0.5189873417721518
199,8.62,4.300000000000001,0.0,-0.4162790697674416,0.5837209302325584
453,5.2803,3.224325,0.0,-0.47847223837547403,0.521527761624526
339,9.4809,2.8453250000000008,0.0,-0.6643968615184556,0.3356031384815443
416,3.2383,1.2413000000000003,0.0,-0.44276162088133425,0.5572383791186658
197,19.3,4.302499999999998,0.0,-0.4950610110400929,0.5049389889599073
66,707.1661,15.844650000000001,0.0,-0.5230693009943413,0.47693069900565865
124,15.83,0.16000000000000014,0.0,-0.5624999999999987,0.4375000000000014
270,28.8442,7.3597,0.0,-0.5832438822234602,0.41675611777653976
557,1.5667,0.5404500000000001,0.0,-0.5394578591914143,0.4605421408085856
123,15.85,0.13000000000000078,0.0,-0.5384615384615374,0.46153846153846256
577,13.7332,5.590400000000001,0.0,-0.4229929879793933,0.5770070120206067
