Group,Evaluation_Scope,N_obs,MAE,RMSE,Bias_actual_minus_predicted,Cov_80_pct,Cov_95_pct,LjungBox_p,LowDay_AUC,Rank_RMSE
8,test,4,0.3425562334844161,0.360301852944178,-0.2549469642694425,100.0,100.0,0.41448119434151653,0.0,1
1,test,6,0.25898313792656685,0.2777216161819623,-0.25898313792656685,100.0,100.0,0.12017589069166162,,2
10,test,9,0.1820490699575904,0.24684190610680826,-0.10118701071650045,77.77777777777779,100.0,0.26077054104153224,0.6666666666666666,3
7,test,7,0.17822485892987192,0.22158728216596357,0.05629991713262206,100.0,100.0,0.7069333326711588,0.6,4
9,test,6,0.1598107900116819,0.21329190762194347,-0.07781438471835465,83.33333333333334,83.33333333333334,0.5678974375476318,0.4444444444444445,5
11,test,7,0.14344444721872243,0.1903329486477699,-0.08064538048620407,100.0,100.0,0.24453715652760472,0.6,6
4,test,9,0.14336415861712545,0.1776374697704691,0.03192884879746435,77.77777777777779,100.0,0.39538945384441954,0.2857142857142857,7
21,test,7,0.07133056553433535,0.1441533511724173,-0.05887026419662076,100.0,100.0,0.7107678850479491,0.5,8
20,test,9,0.084710277515268,0.1381252347304836,-0.024271554541409574,100.0,100.0,0.8662434889677371,0.6428571428571428,9
0,test,9,0.12549098980041437,0.13397202222565216,0.00989031397200673,88.88888888888889,100.0,0.7559729846228354,0.7777777777777779,10
22,test,7,0.07786568694937575,0.13392236398854676,-0.049728389053452504,100.0,100.0,0.9683996034012048,0.33333333333333337,11
3,test,9,0.12485245662565668,0.13028424982213208,0.06300584713944014,100.0,100.0,0.7715957222896325,0.6428571428571429,12
6,test,9,0.11227533597642407,0.11873696389878699,0.04367211205731806,100.0,100.0,0.022993116681076398,0.5714285714285714,13
5,test,8,0.09128706578936929,0.11328356294971186,0.03999756239652927,100.0,100.0,0.24968789279850873,0.4166666666666667,14
19,test,9,0.0649415254830736,0.09663023075036982,-0.0649415254830736,100.0,100.0,0.9120047206362611,0.75,15
16,test,8,0.061545448324165634,0.09572737717048196,-0.04107590831699722,100.0,100.0,0.41006452223818013,1.0,16
2,test,6,0.07626207853254946,0.08513610981531253,0.00441414979243876,100.0,100.0,0.40106186207375527,1.0,17
14,test,9,0.07362132513529002,0.07579804830259929,-0.07362132513529002,100.0,100.0,0.29083865825546157,,18
12,test,9,0.05677608228839123,0.070371935227928,-0.005528508773841343,88.88888888888889,100.0,0.5245968656197448,,19
23,test,9,0.06296193720261721,0.06446156167520146,-0.06296193720261721,100.0,100.0,0.6104439543023834,0.625,20
13,test,9,0.06134739976059971,0.06393329094752247,-0.06134739976059971,100.0,100.0,0.9845622048275922,0.5,21
17,test,9,0.046519504879054416,0.05752992967060513,0.029513165303463016,100.0,100.0,0.02000411095942203,,22
18,test,9,0.04797331656025618,0.056345671048565873,0.02446645565548739,100.0,100.0,0.20503705499446878,,23
15,test,9,0.026845549317252422,0.048206105832317395,-0.02351017264342327,88.88888888888889,100.0,0.9063405000073268,,24
